Vị trí lá bài,Mã lá bài,Xác suất xuất hiện,Tìm được cặp (True/False)
38,B,0.1,False
81,A,0.1,False
41,E,0.1,False
9,D,0.1,False
12,B,0.1,False
72,C,0.1,False
33,E,0.1,False
25,B,0.1,False
75,C,0.1,True
72,C,0.1,True
94,E,0.1,False
83,C,0.1,False
35,B,0.1,False
99,C,0.1,False
14,C,0.1,False
87,A,0.1,False
24,C,0.1,False
26,D,0.1,False
61,E,0.1,True
43,E,0.1,True
68,E,0.1,False
22,A,0.1,False
63,B,0.1,False
17,E,0.1,False
28,B,0.1,False
89,E,0.1,False
99,C,0.1,False
73,B,0.1,False
95,D,0.1,False
91,A,0.1,False
2,E,0.1,False
55,A,0.1,False
19,D,0.1,False
88,C,0.1,False
15,D,0.1,False
31,C,0.1,False
97,C,0.1,False
63,B,0.1,False
66,A,0.1,False
2,E,0.1,False
20,D,0.1,False
68,E,0.1,False
47,A,0.1,False
38,B,0.1,False
79,A,0.1,False
65,B,0.1,False
84,D,0.1,True
70,D,0.1,True
13,E,0.1,True
7,E,0.1,True
31,C,0.1,False
89,E,0.1,False
60,D,0.1,False
80,A,0.1,False
25,B,0.1,False
40,C,0.1,False
26,D,0.1,False
73,B,0.1,False
41,E,0.1,True
67,E,0.1,True
92,C,0.1,False
16,E,0.1,False
78,D,0.1,False
22,A,0.1,False
27,E,0.1,False
11,D,0.1,False
0,B,0.1,False
74,D,0.1,False
23,A,0.1,False
6,C,0.1,False
56,D,0.1,False
81,A,0.1,False
16,E,0.1,False
18,A,0.1,False
28,B,0.1,False
17,E,0.1,False
39,E,0.1,False
69,B,0.1,False
81,A,0.1,False
83,C,0.1,False
96,D,0.1,True
30,D,0.1,True
57,E,0.1,False
78,D,0.1,False
14,C,0.1,False
78,D,0.1,False
18,A,0.1,False
44,B,0.1,False
19,D,0.1,False
79,A,0.1,False
26,D,0.1,True
90,D,0.1,True
98,A,0.1,False
12,B,0.1,False
76,E,0.1,False
59,A,0.1,False
94,E,0.1,False
83,C,0.1,False
91,A,0.1,False
4,B,0.1,False
10,C,0.1,True
86,C,0.1,True
47,A,0.1,False
4,B,0.1,False
62,A,0.1,True
64,A,0.1,True
48,D,0.1,True
19,D,0.1,True
45,C,0.1,True
88,C,0.1,True
38,B,0.1,False
2,E,0.1,False
76,E,0.1,True
17,E,0.1,True
97,C,0.1,True
82,C,0.1,True
16,E,0.1,False
29,C,0.1,False
52,D,0.1,False
16,E,0.1,False
71,B,0.1,False
31,C,0.1,False
47,A,0.1,False
6,C,0.1,False
33,E,0.1,True
57,E,0.1,True
20,D,0.1,False
87,A,0.1,False
73,B,0.1,False
78,D,0.1,False
22,A,0.1,False
63,B,0.1,False
46,D,0.1,False
2,E,0.1,False
87,A,0.1,False
9,D,0.1,False
79,A,0.1,False
52,D,0.1,False
44,B,0.1,False
78,D,0.1,False
95,D,0.1,False
91,A,0.1,False
4,B,0.1,True
34,B,0.1,True
37,B,0.1,False
40,C,0.1,False
40,C,0.1,False
55,A,0.1,False
74,D,0.1,False
39,E,0.1,False
55,A,0.1,False
69,B,0.1,False
80,A,0.1,False
36,C,0.1,False
46,D,0.1,False
63,B,0.1,False
83,C,0.1,False
1,B,0.1,False
9,D,0.1,False
1,B,0.1,False
1,B,0.1,False
80,A,0.1,False
92,C,0.1,True
40,C,0.1,True
24,C,0.1,False
78,D,0.1,False
55,A,0.1,False
24,C,0.1,False
87,A,0.1,False
52,D,0.1,False
16,E,0.1,True
94,E,0.1,True
46,D,0.1,False
63,B,0.1,False
53,B,0.1,False
22,A,0.1,False
85,A,0.1,False
14,C,0.1,False
59,A,0.1,True
55,A,0.1,True
15,D,0.1,False
32,A,0.1,False
5,E,0.1,False
0,B,0.1,False
60,D,0.1,True
46,D,0.1,True
29,C,0.1,False
18,A,0.1,False
35,B,0.1,True
53,B,0.1,True
37,B,0.1,False
85,A,0.1,False
73,B,0.1,True
54,B,0.1,True
44,B,0.1,False
89,E,0.1,False
74,D,0.1,False
28,B,0.1,False
39,E,0.1,False
69,B,0.1,False
29,C,0.1,False
89,E,0.1,False
9,D,0.1,True
95,D,0.1,True
83,C,0.1,False
98,A,0.1,False
29,C,0.1,True
31,C,0.1,True
69,B,0.1,False
42,E,0.1,False
69,B,0.1,False
24,C,0.1,False
93,D,0.1,False
66,A,0.1,False
89,E,0.1,False
28,B,0.1,False
89,E,0.1,False
47,A,0.1,False
44,B,0.1,False
23,A,0.1,False
20,D,0.1,False
3,B,0.1,False
0,B,0.1,False
11,D,0.1,False
78,D,0.1,False
85,A,0.1,False
2,E,0.1,False
1,B,0.1,False
77,E,0.1,False
20,D,0.1,False
66,A,0.1,False
71,B,0.1,False
99,C,0.1,False
1,B,0.1,False
22,A,0.1,True
98,A,0.1,True
65,B,0.1,True
44,B,0.1,True
51,B,0.1,True
28,B,0.1,True
58,C,0.1,False
66,A,0.1,False
71,B,0.1,True
25,B,0.1,True
49,A,0.1,False
58,C,0.1,False
6,C,0.1,False
20,D,0.1,False
91,A,0.1,False
6,C,0.1,False
39,E,0.1,False
80,A,0.1,False
68,E,0.1,True
27,E,0.1,True
1,B,0.1,True
37,B,0.1,True
8,C,0.1,False
78,D,0.1,False
81,A,0.1,False
15,D,0.1,False
24,C,0.1,False
81,A,0.1,False
21,A,0.1,True
47,A,0.1,True
83,C,0.1,False
81,A,0.1,False
20,D,0.1,False
69,B,0.1,False
5,E,0.1,False
3,B,0.1,False
2,E,0.1,False
8,C,0.1,False
24,C,0.1,False
80,A,0.1,False
38,B,0.1,False
83,C,0.1,False
24,C,0.1,False
66,A,0.1,False
42,E,0.1,False
99,C,0.1,False
42,E,0.1,True
77,E,0.1,True
24,C,0.1,False
49,A,0.1,False
93,D,0.1,False
3,B,0.1,False
85,A,0.1,False
52,D,0.1,False
2,E,0.1,False
81,A,0.1,False
24,C,0.1,False
0,B,0.1,False
15,D,0.1,False
23,A,0.1,False
11,D,0.1,False
38,B,0.1,False
36,C,0.1,False
0,B,0.1,False
15,D,0.1,False
6,C,0.1,False
39,E,0.1,False
81,A,0.1,False
0,B,0.1,False
66,A,0.1,False
56,D,0.1,False
2,E,0.1,False
0,B,0.1,False
15,D,0.1,False
52,D,0.1,False
38,B,0.1,False
3,B,0.1,False
20,D,0.1,False
66,A,0.1,True
80,A,0.1,True
49,A,0.1,False
3,B,0.1,False
14,C,0.1,False
5,E,0.1,False
83,C,0.1,True
14,C,0.1,True
49,A,0.1,False
15,D,0.1,False
89,E,0.1,False
32,A,0.1,False
63,B,0.1,True
3,B,0.1,True
85,A,0.1,False
12,B,0.1,False
15,D,0.1,False
39,E,0.1,False
78,D,0.1,True
20,D,0.1,True
91,A,0.1,True
50,A,0.1,True
11,D,0.1,False
18,A,0.1,False
99,C,0.1,False
38,B,0.1,False
49,A,0.1,True
85,A,0.1,True
93,D,0.1,False
79,A,0.1,False
99,C,0.1,False
52,D,0.1,False
87,A,0.1,False
6,C,0.1,False
36,C,0.1,False
39,E,0.1,False
39,E,0.1,False
56,D,0.1,False
87,A,0.1,False
24,C,0.1,False
79,A,0.1,False
8,C,0.1,False
0,B,0.1,True
12,B,0.1,True
11,D,0.1,True
15,D,0.1,True
87,A,0.1,True
18,A,0.1,True
74,D,0.1,False
32,A,0.1,False
81,A,0.1,False
6,C,0.1,False
56,D,0.1,True
93,D,0.1,True
89,E,0.1,False
36,C,0.1,False
39,E,0.1,False
58,C,0.1,False
79,A,0.1,False
8,C,0.1,False
58,C,0.1,False
32,A,0.1,False
38,B,0.1,False
32,A,0.1,False
74,D,0.1,False
6,C,0.1,False
6,C,0.1,False
32,A,0.1,False
38,B,0.1,False
99,C,0.1,False
2,E,0.1,False
24,C,0.1,False
39,E,0.1,False
52,D,0.1,False
79,A,0.1,False
58,C,0.1,False
36,C,0.1,False
79,A,0.1,False
52,D,0.1,False
39,E,0.1,False
52,D,0.1,False
89,E,0.1,False
39,E,0.1,True
89,E,0.1,True
6,C,0.1,False
5,E,0.1,False
32,A,0.1,True
23,A,0.1,True
79,A,0.1,False
8,C,0.1,False
52,D,0.1,False
99,C,0.1,False
69,B,0.1,False
99,C,0.1,False
36,C,0.1,False
74,D,0.1,False
81,A,0.1,False
58,C,0.1,False
8,C,0.1,True
58,C,0.1,True
6,C,0.1,False
69,B,0.1,False
24,C,0.1,False
69,B,0.1,False
36,C,0.1,False
81,A,0.1,False
69,B,0.1,False
24,C,0.1,False
52,D,0.1,False
69,B,0.1,False
2,E,0.1,False
81,A,0.1,False
5,E,0.1,False
52,D,0.1,False
38,B,0.1,False
74,D,0.1,False
52,D,0.1,False
69,B,0.1,False
52,D,0.1,False
36,C,0.1,False
79,A,0.1,False
52,D,0.1,False
36,C,0.1,False
81,A,0.1,False
38,B,0.1,False
79,A,0.1,False
79,A,0.1,False
2,E,0.1,False
6,C,0.1,False
38,B,0.1,False
5,E,0.1,True
2,E,0.1,True
74,D,0.1,False
24,C,0.1,False
36,C,0.1,True
99,C,0.1,True
24,C,0.1,False
79,A,0.1,False
24,C,0.1,False
74,D,0.1,False
24,C,0.1,True
6,C,0.1,True
79,A,0.1,False
52,D,0.1,False
81,A,0.1,False
52,D,0.1,False
38,B,0.1,False
52,D,0.1,False
81,A,0.1,False
38,B,0.1,False
69,B,0.1,True
38,B,0.1,True
81,A,0.1,False
52,D,0.1,False
74,D,0.1,False
79,A,0.1,False
52,D,0.1,False
81,A,0.1,False
74,D,0.1,False
81,A,0.1,False
74,D,0.1,True
52,D,0.1,True
81,A,0.1,True
79,A,0.1,True
